Catherine,Abel,4,127379.7919,Zlota
Kim,Abercrombie,12,584949.1308,Platynowa
Humberto,Acevedo,11,77585.195,Zlota
Gustavo,Achong,7,147804.9208,Zlota
Pilar,Ackerman,4,249804.8673,Zlota
Carla,Adams,4,98273.5468,Zlota
Frances,Adams,12,428350.5326,Zlota
Jay,Adams,6,158025.1722,Zlota
Kaitlyn,Adams,5,297.3336,Srebrna
Miguel,Adams,5,259.6862,Srebrna
Samuel,Agcaoili,9,18275.1045,Srebrna
Robert,Ahlering,4,107741.109,Zlota
Kim,Akers,8,5835.052,Srebrna
Stanley,Alan,4,244854.0475,Zlota
Amy,Alberts,8,264645.3146,Zlota
Anna,Albright,7,147107.0296,Zlota
Gregory,Alderson,7,11542.2556,Srebrna
Elijah,Alexander,5,366.5065,Srebrna
J. Phillip,Alexander,4,181006.1299,Zlota
Mary,Alexander,8,45166.9405,Zlota
Marvin,Allen,10,10227.5269,Srebrna
Michael,Allen,12,337311.2711,Zlota
Phyllis,Allen,8,502367.0397,Zlota
Cecil,Allison,4,141133.3059,Zlota
Oscar,Alpuerto,11,163046.6378,Zlota
Selena,Alvarado,4,219040.5091,Zlota
Maxwell,Amland,8,326175.9828,Zlota
Ramona,Antrim,4,18084.8734,Zlota
Sabria,Appelbaum,5,13921.0304,Srebrna
Hannah,Arakawa,4,24584.3747,Zlota
Kyley,Arbelaez,8,48061.4725,Zlota
Thomas,Armstrong,12,554388.9371,Zlota
John,Arthur,12,696703.605,Zlota
Chris,Ashton,4,204728.0888,Zlota
Teresa,Atkinson,4,298046.6089,Zlota
John,Ault,4,63438.0774,Zlota
Robert,Avalos,4,20366.1058,Zlota
Stephen,Ayers,8,162305.8093,Zlota
Sara,Baker,5,566.2796,Srebrna
Douglas,Baldwin,12,93332.0095,Zlota
Jennifer,Bales,4,127302.9333,Zlota
Wayne,Banack,8,15812.5851,Srebrna
Brenda,Barlow,4,76266.9402,Zlota
Fernando,Barnes,27,1658.0753,Srebrna
Josh,Barnhill,12,67481.63,Zlota
Adam,Barr,8,60010.9459,Zlota
Gytis,Barzdukas,5,4481.7148,Srebrna
Karel,Bates,8,321014.9284,Zlota
Shaun,Beasley,8,66718.9124,Zlota
Christopher,Beck,8,534117.5619,Zlota
Garrett,Bell,5,237.8182,Srebrna
Shane,Belli,8,238924.2599,Zlota
Mason,Bendixen,4,143019.6297,Zlota
Antonio,Bennett,16,781.7878,Srebrna
John,Bennetts,4,148798.8482,Zlota
Edna,Benson,4,23919.1909,Zlota
Max,Benson,5,15378.0241,Srebrna
Payton,Benson,8,16912.9207,Srebrna
Alexander,Berger,4,222988.2625,Zlota
John,Berger,9,51533.2559,Zlota
Robert,Bernacchi,8,499815.3125,Zlota
Matthias,Berndt,8,356524.0763,Zlota
John,Berry,4,175334.3856,Zlota
Chris,Bidelman,4,208806.1592,Zlota
Mary,Billstrom,4,320894.205,Zlota
Jimmy,Bischoff,8,5537.2608,Srebrna
Mae,Black,4,29903.9498,Zlota
Donald,Blanton,8,15976.553,Srebrna
Michael,Blythe,12,61854.5431,Zlota
Gabriel,Bockenkamp,12,107313.0962,Zlota
Cory,Booth,11,113172.072,Zlota
Randall,Boseman,8,20712.4174,Srebrna
Eli,Bowen,8,8792.733,Srebrna
Lester,Bowman,12,73278.6485,Zlota
Cornelius,Brandon,8,320244.2906,Zlota
Richard,Bready,12,815914.2534,Zlota
Sara,Breer,9,106288.0572,Zlota
Ted,Bremer,4,172671.1241,Zlota
Alan,Brewer,5,3820.3709,Srebrna
Walter,Brian,7,6504.8271,Srebrna
David,Brink,8,50117.8904,Zlota
John,Brooks,8,399672.8579,Zlota
Willie,Brooks,10,17361.1884,Srebrna
Carolee,Brown,4,223583.8648,Zlota
Jo,Brown,7,10009.4832,Srebrna
Jonathan,Brown,5,323.4336,Srebrna
Nicholas,Brown,16,827.2035,Srebrna
Steven,Brown,8,665292.381,Zlota
Kevin,Browne,12,121101.8185,Zlota
Dave,Browning,4,402874.3907,Zlota
Mary,Browning,8,24927.7595,Zlota
Bridget,Browqett,4,131484.2996,Zlota
Eric,Brumfield,4,41264.0391,Zlota
Michael,Brundage,8,46391.1048,Zlota
Shirley,Bruner,6,7841.7414,Srebrna
June,Brunner,3,19798.5095,Zlota
Dirk,Bruno,8,302983.1192,Zlota
Edward,Buensalido,8,3425.9024,Srebrna
Megan,Burke,8,279225.9956,Zlota
Karren,Burkhardt,10,16030.152,Srebrna
Linda,Burnett,10,24082.9023,Srebrna
Timothy,Burnett,4,221704.253,Zlota
Stephen,Burton,4,210334.4128,Zlota
Deanna,Buskirk,7,18398.3255,Srebrna
David,Byrnes,4,31727.7716,Zlota
Lisa,Cai,7,12673.4532,Srebrna
Ryan,Calafato,12,901346.856,Zlota
Mari,Caldwell,4,340396.3242,Zlota
Barbara,Calone,8,695242.2258,Zlota
Lindsey,Camacho,12,834475.9271,Zlota
Gustavo,Camargo,8,348640.9465,Zlota
DeeDee,Cameron,7,6724.719,Srebrna
Chloe,Campbell,17,914.0453,Srebrna
Frank,Campbell,12,420767.7112,Platynowa
Joan,Campbell,12,74518.6883,Zlota
Henry,Campen,10,262408.3464,Platynowa
Joseph,Cantoni,4,486937.5937,Zlota
Suzana De Abreu,Canuto,4,191750.1446,Zlota
Jun,Cao,7,14250.8476,Srebrna
Johnny,Caprio,8,281414.838,Zlota
Richard,Carey,4,163865.4832,Zlota
Carlton,Carlisle,4,389437.6577,Zlota
Pamela,Carlson,6,4068.4736,Srebrna
Ty Loren,Carlson,6,4222.0066,Srebrna
Jane,Carmichael,4,30395.4433,Zlota
Jovita,Carmody,4,50997.8805,Zlota
Steve,Carnes,7,36079.2038,Zlota
Fernando,Caro,4,34605.00,Zlota
Rob,Caron,8,26741.013,Srebrna
Andy,Carothers,4,22534.9569,Zlota
Donna,Carreras,12,407563.0075,Platynowa
Jason,Carter,5,232.1495,Srebrna
Katherine,Carter,5,316.3616,Srebrna
Joseph,Castellucio,12,887090.4106,Platynowa
Raul,Casts,4,606819.6087,Zlota
Elizabeth,Catalano,9,139680.9176,Zlota
Matthew,Cavallari,4,230789.189,Zlota
Brigid,Cavendish,7,8095.6663,Srebrna
Andrew,Cencini,4,166814.9731,Zlota
Stacey,Cereghino,12,820383.5466,Zlota
Baris,Cetinok,8,402240.7953,Zlota
Pat,Chambers,8,295434.8253,Zlota
Brandy,Chandra,16,963.8368,Srebrna
Lee,Chapla,12,442256.8765,Platynowa
Nancy,Chapman,27,1092.0944,Srebrna
James,Chen,5,335.0362,Srebrna
Yao-Qiang,Cheng,8,50149.2315,Zlota
Nicky,Chesnut,4,59709.5091,Zlota
Susan,Chestnut,4,44104.1959,Zlota
Mike,Choi,8,329150.8419,Zlota
Ruth,Choin,7,49438.7051,Zlota
Anthony,Chor,4,206276.9149,Zlota
Pei,Chow,4,61333.7327,Zlota
Charles,Christensen,6,86090.9919,Zlota
Alice,Clark,4,47094.0902,Zlota
Gina,Clark,4,48054.0631,Zlota
Jane,Clayton,4,69597.4879,Zlota
Kristine,Cleary,4,53326.5664,Zlota
Jeanette,Cole,11,41979.0807,Srebrna
Eric,Coleman,4,34882.524,Zlota
Luke,Coleman,5,212.7458,Srebrna
Pat,Coleman,4,52748.2969,Zlota
Hailey,Collins,5,360.1087,Srebrna
Takiko,Collins,6,3205.1588,Srebrna
Aaron,Con,12,46795.976,Zlota
Peter,Connelly,7,14203.9081,Srebrna
William,Conner,8,39661.4212,Zlota
Stephanie,Conroy,8,28411.1304,Srebrna
Amy,Consentino,7,9680.9447,Srebrna
Dorothy,Contreras,8,69588.4447,Zlota
Patrick,Cook,5,14400.5708,Srebrna
Scott,Cooper,8,13525.1368,Srebrna
Eva,Corets,8,45316.8917,Zlota
Marlin,Coriell,8,92548.8494,Zlota
Pamela,Cox,12,136053.7081,Zlota
Jack,Creasey,4,32409.8546,Zlota
Shelley,Crow,4,29798.4906,Zlota
Grant,Culbertson,5,10718.0322,Srebrna
Scott,Culp,8,600077.2722,Zlota
Conor,Cunningham,12,470639.545,Zlota
Jose,Curry,7,23094.0255,Srebrna
Ryan,Danner,4,307800.8569,Zlota
Daniel,Davis,27,1219.6778,Srebrna
James,Davis,5,304.4276,Srebrna
Megan,Davis,4,236341.6203,Zlota
Alvaro,De Matos Miranda Filho,8,97102.3608,Zlota
Jacob,Dean,12,326883.5513,Zlota
Alexander,Deborde,4,126587.3691,Zlota
Kirk,DeGrasse,8,841866.5522,Zlota
Aidan,Delaney,12,447403.4907,Platynowa
Stefan,Delmarco,8,465429.5734,Zlota
Shawn,Demicell,8,377088.6246,Zlota
Della,Demott Jr,12,543440.5911,Zlota
Bruno,Deniut,4,169271.0046,Zlota
Helen,Dennis,8,469525.749,Zlota
Prashanth,Desai,4,69381.6517,Zlota
Bev,Desalvo,8,44065.4622,Zlota
Thierry,D'Hers,8,366009.6535,Zlota
Brenda,Diaz,4,277612.9119,Zlota
Luis,Diaz,17,885.9564,Srebrna
Luke,Diaz,5,444.7958,Srebrna
Gabriele,Dickmann,6,15123.6669,Srebrna
Holly,Dickson,8,653973.7646,Zlota
Rudolph,Dillon,12,432800.3352,Platynowa
Andrew,Dixon,12,961675.8596,Platynowa
Blaine,Dockter,12,781073.7175,Zlota
Cindy,Dodd,7,88435.3409,Zlota
Randall,Dominguez,5,14658.9191,Srebrna
John,Donovan,8,102216.0824,Zlota
Patricia,Doyle,7,8614.0445,Srebrna
Gary,Drury,12,45348.5877,Zlota
Gerald,Drury,4,167479.4606,Zlota
Reuben,D'sa,12,954021.9235,Platynowa
Bernard,Duerr,12,444336.9798,Zlota
Tish,Duff,4,173266.5894,Zlota
Bart,Duncan,4,201885.6157,Zlota
Linda,Ecoffey,6,12438.7096,Srebrna
Carla,Eldridge,12,58418.6364,Zlota
Carol,Elliott,8,313985.4367,Zlota
Jauna,Elson,12,469357.2899,Zlota
Terry,Eminhizer,4,363872.0389,Zlota
John,Emory,4,167690.1309,Zlota
Gail,Erickson,4,210100.7797,Zlota
Mark,Erickson,4,128791.75,Zlota
Martha,Espinoza,8,72854.4681,Zlota
John,Evans,8,449330.8159,Zlota
Twanna,Evans,4,156366.7469,Zlota
Marc,Faeber,8,17802.6999,Srebrna
Fadi,Fakhouri,8,205886.8086,Zlota
Carolyn,Farino,9,20895.9208,Srebrna
Geri,Farrell,4,150169.1642,Zlota
Hanying,Feng,4,155077.5481,Zlota
François,Ferrier,12,789884.2937,Zlota
Rhoda,Finley,5,20326.274,Zlota
Kathie,Flood,8,9571.9115,Srebrna
Jeffrey,Ford,6,9619.5049,Srebrna
John,Ford,8,10131.4774,Srebrna
Garth,Fort,12,65505.3258,Zlota
Judith,Frazier,4,36756.0713,Zlota
Susan,French,12,68068.6803,Zlota
Liam,Friedland,4,33399.5723,Zlota
Jon,Ganio,4,92300.5485,Zlota
Henry,Garcia,27,1289.6131,Srebrna
Patricia,Garcia,5,250.2053,Srebrna
Kathleen,Garza,8,500181.7264,Zlota
Janet,Gates,8,660645.9404,Zlota
Orlando,Gee,4,95924.0197,Zlota
Darren,Gehring,4,197614.4995,Zlota
Jim,Geist,8,8853.5804,Srebrna
Barbara,German,4,116621.1333,Zlota
Leo,Giakoumakis,8,50673.1856,Zlota
Cornett,Gibbens,4,44581.9065,Zlota
Frances,Giglio,8,55608.3548,Zlota
Guy,Gilbert,8,33259.9208,Zlota
Brandi,Gill,5,14581.1824,Srebrna
Mary,Gimmi,8,348070.0746,Zlota
Jeanie,Glenn,8,93888.441,Zlota
James,Glynn,8,236210.9015,Zlota
Scott,Gode,6,167452.6003,Zlota
Mete,Goktepe,7,6040.9608,Srebrna
Brian,Goldstein,12,313549.3888,Zlota
Linda,Gonzales,4,62725.1342,Zlota
